file,column_index,column,unit,meaning,example_first_row
demo_0_actions.csv,0,sample,index,"Action step index within the episode, starting at 0",0
demo_0_actions.csv,1,obs_time_s,s,Simulation time of the observation just before the action,0.008333333767950535
demo_0_actions.csv,2,next_obs_time_s,s,Simulation time of the observation just after the action,0.058333336375653744
demo_0_actions.csv,3,start_tick,tick,Physics tick in the raw log where the action starts,0
demo_0_actions.csv,4,end_tick,tick,Physics tick in the raw log where the action ends,12
demo_0_actions.csv,5,robot_0.base_forward_velocity,"normalized [-1,1]",robot_0 base_forward_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,6,robot_0.base_left_velocity,"normalized [-1,1]",robot_0 base_left_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,-0.0
demo_0_actions.csv,7,robot_0.base_yaw_velocity,"normalized [-1,1]",robot_0 base_yaw_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,8,robot_0.lift_velocity,"normalized [-1,1]",robot_0 lift_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,9,robot_0.arm_extension_velocity,"normalized [-1,1]",robot_0 arm_extension_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,10,robot_0.wrist_yaw_velocity,"normalized [-1,1]",robot_0 wrist_yaw_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,11,robot_0.wrist_pitch_velocity,"normalized [-1,1]",robot_0 wrist_pitch_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,12,robot_0.wrist_roll_velocity,"normalized [-1,1]",robot_0 wrist_roll_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,13,robot_0.gripper_command,"normalized [-1,1]",robot_0 gripper_command; >0.5 close / <-0.5 open / otherwise keep previous intent,0.0
demo_0_actions.csv,14,robot_1.base_forward_velocity,"normalized [-1,1]",robot_1 base_forward_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,15,robot_1.base_left_velocity,"normalized [-1,1]",robot_1 base_left_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,-0.0
demo_0_actions.csv,16,robot_1.base_yaw_velocity,"normalized [-1,1]",robot_1 base_yaw_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,17,robot_1.lift_velocity,"normalized [-1,1]",robot_1 lift_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,18,robot_1.arm_extension_velocity,"normalized [-1,1]",robot_1 arm_extension_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,19,robot_1.wrist_yaw_velocity,"normalized [-1,1]",robot_1 wrist_yaw_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,20,robot_1.wrist_pitch_velocity,"normalized [-1,1]",robot_1 wrist_pitch_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,21,robot_1.wrist_roll_velocity,"normalized [-1,1]",robot_1 wrist_roll_velocity; +1 positive / -1 negative / 0 no command; multiply by the rate scale for physical velocity,0.0
demo_0_actions.csv,22,robot_1.gripper_command,"normalized [-1,1]",robot_1 gripper_command; >0.5 close / <-0.5 open / otherwise keep previous intent,0.0
demo_0_applied_targets.csv,0,sample,index,"Action step index within the episode, starting at 0",0
