sample,control_substep,physics_tick,robot_0.lift,robot_0.arm,robot_0.yaw,robot_0.pitch,robot_0.roll,robot_0.grip_pos,robot_0.base_fwd,robot_0.base_strafe,robot_0.base_turn,robot_1.lift,robot_1.arm,robot_1.yaw,robot_1.pitch,robot_1.roll,robot_1.grip_pos,robot_1.base_fwd,robot_1.base_strafe,robot_1.base_turn
0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,1,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,2,8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,0,12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,1,16,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,2,20,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,0,24,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,1,28,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,2,32,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,0,36,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,1,40,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,2,44,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,0,48,0.0,0.0,0.0,0.0,0.0,0.5,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,1,52,0.0,0.0,0.0,0.0,0.0,0.5,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,2,56,0.0,0.0,0.0,0.0,0.0,0.5,0.066,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,0,60,0.0,0.0,0.0,0.0,0.0,0.5,0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
