sample,time_s,raw_points,rate_points_pickup_excluded,score_time_s,points_per_s,first_contact_tick,pickup,first_sleeve,opposite_shoulder,second_sleeve,overall_dressing,reward,done
0,0.058333336375653744,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.10833333898335695,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.15833334159106016,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.20833334419876337,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.2583333468064666,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.3083333494141698,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.358333352021873,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.4083333546295762,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.4583333572372794,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.5083333598449826,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.5583333624526858,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
11,0.608333365060389,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
12,0.6583333676680923,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
13,0.7083333702757955,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0.7583333728834987,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0.8083333754912019,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
16,0.8583333780989051,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
17,0.9083333807066083,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0.9583333833143115,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
19,1.0083333859220147,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
20,1.058333388529718,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
21,1.1083333911374211,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
22,1.1583333937451243,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
23,1.2083333963528275,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
