sample,base_pose_world[0],base_pose_world[1],base_pose_world[2],base_pose_world[3],base_pose_world[4],base_pose_world[5],base_pose_world[6],base_pose_world[7],base_pose_world[8],base_pose_world[9],base_pose_world[10],base_pose_world[11],base_pose_world[12],base_pose_world[13],base_twist_world[0],base_twist_world[1],base_twist_world[2],base_twist_world[3],base_twist_world[4],base_twist_world[5],base_twist_world[6],base_twist_world[7],base_twist_world[8],base_twist_world[9],base_twist_world[10],base_twist_world[11],controller_target[0],controller_target[1],controller_target[2],controller_target[3],controller_target[4],controller_target[5],controller_target[6],controller_target[7],controller_target[8],controller_target[9],controller_target[10],controller_target[11],controller_target[12],controller_target[13],controller_target[14],controller_target[15],controller_target[16],controller_target[17],fingertip_origin_distance[0],fingertip_origin_distance[1],fingertip_position_base[0],fingertip_position_base[1],fingertip_position_base[2],fingertip_position_base[3],fingertip_position_base[4],fingertip_position_base[5],fingertip_position_base[6],fingertip_position_base[7],fingertip_position_base[8],fingertip_position_base[9],fingertip_position_base[10],fingertip_position_base[11],grasp_pose_base[0],grasp_pose_base[1],grasp_pose_base[2],grasp_pose_base[3],grasp_pose_base[4],grasp_pose_base[5],grasp_pose_base[6],grasp_pose_base[7],grasp_pose_base[8],grasp_pose_base[9],grasp_pose_base[10],grasp_pose_base[11],grasp_pose_base[12],grasp_pose_base[13],gripper_close_command[0],gripper_close_command[1],joint_position[0],joint_position[1],joint_position[2],joint_position[3],joint_position[4],joint_position[5],joint_position[6],joint_position[7],joint_position[8],joint_position[9],joint_position[10],joint_position[11],joint_position[12],joint_position[13],joint_position[14],joint_position[15],joint_position[16],joint_position[17],joint_position[18],joint_position[19],joint_position[20],joint_position[21],joint_position[22],joint_position[23],joint_position[24],joint_position[25],joint_velocity[0],joint_velocity[1],joint_velocity[2],joint_velocity[3],joint_velocity[4],joint_velocity[5],joint_velocity[6],joint_velocity[7],joint_velocity[8],joint_velocity[9],joint_velocity[10],joint_velocity[11],joint_velocity[12],joint_velocity[13],joint_velocity[14],joint_velocity[15],joint_velocity[16],joint_velocity[17],joint_velocity[18],joint_velocity[19],joint_velocity[20],joint_velocity[21],joint_velocity[22],joint_velocity[23],joint_velocity[24],joint_velocity[25],previous_action[0],previous_action[1],previous_action[2],previous_action[3],previous_action[4],previous_action[5],previous_action[6],previous_action[7],previous_action[8],previous_action[9],previous_action[10],previous_action[11],previous_action[12],previous_action[13],previous_action[14],previous_action[15],previous_action[16],previous_action[17],simulation_time_s[0]
0,-1.0665600299835205,-0.13899995386600494,0.029489098116755486,-0.7071067690849304,0.0,0.0,0.7071067690849304,1.0665600299835205,-0.13899995386600494,0.029489098116755486,-0.7071067690849304,0.0,0.0,0.7071067690849304,9.462813865823705e-10,-1.6570193828169266e-10,-0.08174999803304672,-7.767004261971522e-10,-1.7710602984166712e-09,6.59964083382647e-10,4.794838970312298e-10,-1.156660392465092e-10,-0.08174999803304672,-1.778114183670354e-10,-8.422916808470404e-10,-6.99528213132794e-10,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.00018525127961765975,0.00018531088426243514,0.46011877059936523,-0.08732724189758301,0.1782211810350418,0.4601188898086548,-0.08751249313354492,0.17822124063968658,0.46011877059936523,-0.08732712268829346,0.1782211810350418,0.4601188898086548,-0.08751243352890015,0.17822124063968658,0.4662579894065857,-0.08741927146911621,0.17822052538394928,1.0,-1.495505941306874e-08,1.0294523633547215e-07,-1.2644055402688537e-07,0.4662579894065857,-0.08741927146911621,0.17822052538394928,1.0,-1.495505941306874e-08,1.0294523633547215e-07,-1.2644055402688537e-07,0.0,0.0,3.799934325532384e-12,-6.231965464509326e-12,2.6987897593783172e-12,5.7497964722763584e-11,-6.834139645254395e-14,-8.764681553230166e-14,-1.1549997611971785e-13,-2.050139910809469e-14,-4.264325004221803e-10,1.0488466761771065e-09,-3.4534464177227164e-10,6.01926231080796e-10,2.0659201346168166e-14,3.171515784369805e-12,-3.71142309593675e-12,9.335365596871426e-13,-3.063071671305373e-11,1.7593848470123796e-12,1.6588832087507943e-12,1.459662902700276e-12,-1.9967478242540046e-15,-1.0826533419772133e-10,3.117072155944811e-10,-6.321320550339848e-11,6.632851212717839e-11,1.2574463692516247e-10,1.8773052556930736e-10,-9.7031072066045e-10,8.027210007810481e-10,2.245032248993084e-08,-1.9994575439774565e-11,-2.982953120622689e-11,1.0837395425511431e-09,3.976762252833055e-10,-1.129016737877464e-07,2.609770035633119e-07,-9.109066922974307e-08,1.404325189469091e-07,7.583277755740525e-12,4.4193419757032615e-11,-3.1079977480530374e-10,3.133900083884811e-10,-9.650584331666323e-09,1.2468988341840515e-10,1.1489063866942928e-10,1.0369074349148022e-10,2.5177095651363057e-12,3.669635262326665e-08,-1.6831145366325018e-09,4.754455318334294e-08,-8.97162166779708e-08,7.938930224327123e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333767950535
1,-1.0665600299835205,-0.13899877667427063,0.012117264792323112,-0.7071067690849304,0.0,0.0,0.7071067690849304,1.0665600299835205,-0.13899877667427063,0.012117357924580574,-0.7071067690849304,0.0,0.0,0.7071067690849304,-8.228778369812062e-08,-1.6463947076772456e-06,-0.57225102186203,-1.90120808838401e-05,3.439623128542735e-07,1.1877216820721515e-05,-8.188958133814594e-08,-1.6463666270283284e-06,-0.5722513198852539,-1.9013299606740475e-05,3.414945695112692e-07,1.1879559679073282e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.042154908180236816,0.04215508699417114,0.4614090025424957,-0.06634211540222168,0.178221195936203,0.4614090025424957,-0.1084970235824585,0.1782212257385254,0.4614090025424957,-0.06634199619293213,0.1782212257385254,0.4614090025424957,-0.10849708318710327,0.17822125554084778,0.46626970171928406,-0.08742034435272217,0.1782204955816269,1.0,-2.2759533635507978e-07,1.3906691265219706e-07,-1.7280209476666641e-06,0.46626970171928406,-0.08742022514343262,0.17822052538394928,1.0,-2.2759533635507978e-07,1.3906691265219706e-07,-1.7280209476666641e-06,0.0,0.0,4.8713076239437214e-08,1.0771139535847851e-08,-6.000680485840348e-08,4.5784551150340747e-10,2.187942982345703e-06,3.3388575957360445e-06,3.5658110846270574e-06,2.8875872430944582e-06,-3.7260322187648853e-06,1.6496990440373338e-08,-4.2607737782418553e-07,0.10939455032348633,0.10938208550214767,4.875740344800761e-08,1.0785305093463649e-08,-6.006313668649454e-08,-1.2191238296654916e-10,2.187968675571028e-06,3.3388939755241154e-06,3.565846327546751e-06,2.887615892177564e-06,-3.725759142980678e-06,1.611861399908321e-08,-4.2588715132296784e-07,0.10939454287290573,0.10938209295272827,-9.170152225124184e-06,-8.693866220710333e-06,1.7872311218525283e-05,-1.0589531029836508e-06,6.865613249829039e-05,0.00010288313205819577,0.00010406469664303586,7.752246165182441e-05,7.054365414660424e-05,8.305394658236764e-06,4.354144039098173e-06,1.9609719514846802,1.9611858129501343,-9.165744813799392e-06,-8.69418727234006e-06,1.786810753401369e-05,-9.46385114275472e-07,6.865605973871425e-05,0.00010288287739967927,0.00010406385263195261,7.752259261906147e-05,7.055663445498794e-05,8.403872925555333e-06,4.353093117970275e-06,1.9609719514846802,1.9611854553222656,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058333336375653744
2,-1.0668134689331055,-0.1388668715953827,0.00011117917892988771,-0.7070560455322266,0.0006060927989892662,-0.0005931995110586286,0.7071570158004761,1.066336989402771,-0.13884790241718292,0.00010051909339381382,-0.7070475816726685,0.000568518356885761,-0.0005510031478479505,0.7071654796600342,0.015164844691753387,0.0012221476063132286,-0.0006415832904167473,0.00032704343902878463,0.001928325742483139,-0.007829137146472931,0.015405560843646526,0.0020862985402345657,-0.0008988219778984785,0.00010325061157345772,-0.0006501735770143569,-0.008382447995245457,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.07546470314264297,0.07546457648277283,0.4613719880580902,-0.04964463785290718,0.1776411086320877,0.4613843858242035,-0.12510934472084045,0.1776360124349594,0.4613942503929138,-0.04964251071214676,0.17764101922512054,0.46140727400779724,-0.125107079744339,0.17763614654541016,0.4668586850166321,-0.08736421167850494,0.177626833319664,0.999999463558197,3.3857853850349784e-05,0.0010045741219073534,9.2605288955383e-05,0.46688130497932434,-0.08736260235309601,0.17762687802314758,0.999999463558197,3.226502303732559e-05,0.0010046240640804172,9.54566930886358e-05,0.0,0.0,-0.01860075816512108,-0.019151464104652405,0.03915758803486824,-3.2374336544904736e-09,0.00012447476910892874,0.0001699771237326786,0.00015862256987020373,0.00013200484681874514,0.00018520311277825385,0.0020089924801141024,6.793373904656619e-05,0.196029931306839,0.19614723324775696,-0.018688956275582314,-0.019432803615927696,0.03877520561218262,-2.1613741907344775e-09,0.00012968742521479726,0.00017675584240350872,0.00016450545808766037,0.00013624537677969784,0.00019133574096485972,0.0020090213511139154,6.506052159238607e-05,0.19603337347507477,0.19614361226558685,-0.6920519471168518,-0.8028501868247986,1.2217035293579102,-5.60010562367097e-07,0.002134712180122733,0.003200009698048234,0.003297357354313135,0.0024424248840659857,0.0012477003037929535,-0.009771761484444141,-0.0006418540142476559,1.527392864227295,1.5241771936416626,-0.6982720494270325,-0.8123142123222351,1.2097127437591553,-5.077134801467764e-07,0.0021297442726790905,0.003317491617053747,0.003526997519657016,0.0026151142083108425,0.0008425485575571656,-0.00960242934525013,-0.0003156638122163713,1.5259841680526733,1.5255776643753052,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10833333898335695
3,-1.065782070159912,-0.13898205757141113,-0.0005698527093045413,-0.707004964351654,-0.00012217427138239145,0.0004493873566389084,0.7072083353996277,1.067328691482544,-0.13893632590770721,-0.0005768234259448946,-0.7070017457008362,-0.00016025621152948588,0.0004917820915579796,0.7072115540504456,0.006294465158134699,-0.0038813757710158825,-0.020634811371564865,-0.015453186817467213,-0.04374963045120239,0.004187269136309624,0.004388557747006416,-0.008220117539167404,-0.0231684148311615,-0.026980562135577202,-0.040713947266340256,0.00808250904083252,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.10123363137245178,0.10123351961374283,0.4601096212863922,-0.036680668592453,0.17751537263393402,0.46015259623527527,-0.1379142850637436,0.17751990258693695,0.4601285755634308,-0.036680225282907486,0.1775144636631012,0.4601718783378601,-0.13791373372077942,0.1775190234184265,0.4670904576778412,-0.08729614317417145,0.17749996483325958,0.9999992251396179,-2.238030720036477e-05,0.001219539437443018,0.00020818127086386085,0.4671095907688141,-0.08729540556669235,0.17749907076358795,0.9999992251396179,-2.2589149011764675e-05,0.0012207042891532183,0.00020962873531971127,0.0,0.0,-0.08397243916988373,-0.09952177852392197,0.11172103136777878,-1.0929286808902816e-08,0.00016210897592827678,0.00023020790831651539,0.00022337850532494485,0.00018128080409951508,0.00041616763337515295,0.0024389454629272223,-4.4506094127427787e-05,0.2635572552680969,0.26353543996810913,-0.08334212005138397,-0.09971097856760025,0.11266255378723145,-1.1758750417811825e-08,0.00016570801381021738,0.00023599019914399832,0.00022892993001732975,0.00018520333105698228,0.00041915345354937017,0.002441172953695059,-4.499606438912451e-05,0.26355668902397156,0.2635359466075897,-2.0582144260406494,-2.379227638244629,2.682119607925415,-2.964157602036721e-06,0.000366608495824039,0.0005481087137013674,0.0006264829426072538,0.0004694123927038163,-0.0006984599167481065,-0.01197977177798748,-0.00011273713607806712,1.1889569759368896,1.1852258443832397,-2.20399808883667,-2.1253159046173096,2.761835813522339,-2.8485046641435474e-06,-0.00024977809516713023,-0.0002348960842937231,-4.307007657189388e-06,2.4284874598379247e-05,-0.0014890378806740046,-0.012013070285320282,0.00015382791752927005,1.187228798866272,1.1871522665023804,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15833334159106016
4,-1.0660680532455444,-0.13919559121131897,-0.0026447027921676636,-0.7071090936660767,-4.8117184633156285e-05,0.0011980177368968725,0.7071033120155334,1.0670020580291748,-0.13909946382045746,-0.002692036796361208,-0.7070968747138977,-5.19657987751998e-05,0.0011561074061319232,0.7071155905723572,-0.016190800815820694,-0.018345922231674194,0.018117910251021385,-0.06323443353176117,0.022352438420057297,0.011926897801458836,-0.01728322170674801,-0.01659894920885563,0.012368397787213326,-0.058913230895996094,0.032079197466373444,0.011188974604010582,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.12111027538776398,0.12110991030931473,0.45834770798683167,-0.026706943288445473,0.1773761510848999,0.4584144651889801,-0.1478171944618225,0.17738297581672668,0.45837682485580444,-0.026705896481871605,0.17738008499145508,0.4584439992904663,-0.1478157788515091,0.1773860901594162,0.46708980202674866,-0.08726450055837631,0.17735330760478973,0.9999988675117493,-2.82717592199333e-05,0.001467502792365849,0.00026168429758399725,0.4671192169189453,-0.08726529031991959,0.17735692858695984,0.9999988675117493,-2.5234721761080436e-05,0.0014620166039094329,0.0002606714842841029,0.0,0.0,-0.27350175380706787,-0.2988887429237366,0.23800036311149597,-3.7185955648055824e-08,0.00015661134966649115,0.00022608994913753122,0.00022270269982982427,0.00018197541066911072,0.0005232469993643463,0.0029348970856517553,-5.564644743571989e-05,0.3160715401172638,0.31599122285842896,-0.2697581350803375,-0.29338404536247253,0.23793093860149384,-4.881793103095333e-08,0.00016308178601320833,0.00023502047406509519,0.0002308906987309456,0.00018796458607539535,0.0005216868012212217,0.00292404112406075,-4.999166412744671e-05,0.3160809278488159,0.315979927778244,-1.2696082592010498,-4.633476257324219,0.067407988011837,-9.055468581209425e-06,-0.001272396300919354,-0.0017274644924327731,-0.0014607891207560897,-0.0011167566990479827,-0.0038299753796309233,-0.014755023643374443,0.0006413852097466588,0.9185807108879089,0.9290412068367004,-0.914136528968811,-4.314527988433838,0.06391636282205582,-1.1041600373573601e-05,-0.0015876594698056579,-0.0018045627512037754,-0.001126380288042128,-0.0006834352388978004,-0.008312812075018883,-0.014739044941961765,0.003799018682911992,0.9091334939002991,0.9396443367004395,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833334419876337
5,-1.068503975868225,-0.1408018320798874,-0.0035876662004739046,-0.707231342792511,0.003186429152265191,0.0008270900580100715,0.7069745063781738,1.0658576488494873,-0.13937032222747803,-0.0034150639548897743,-0.7072296142578125,0.002291850047186017,0.000546713825315237,0.7069799900054932,-0.06122409552335739,-0.06257301568984985,-0.007208104711025953,-0.12684671580791473,0.13644059002399445,-0.001681910129263997,-0.010465933941304684,-0.01118908915668726,-0.002122723264619708,-0.0645698681473732,0.08719789981842041,0.0015719789080321789,0.0,0.0,0.0,0.0,0.0,0.5,0.06599999964237213,0.06599999964237213,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1364353448152542,0.13643047213554382,0.4559318423271179,-0.01899363100528717,0.17729438841342926,0.45603230595588684,-0.155428946018219,0.17731475830078125,0.4566768407821655,-0.019077498465776443,0.17731067538261414,0.45673760771751404,-0.15550795197486877,0.17730337381362915,0.4664117395877838,-0.08723657578229904,0.1772703379392624,0.9999986290931702,-7.514804019592702e-05,0.0016074933810159564,0.00030888314358890057,0.4671362340450287,-0.08728117495775223,0.17727287113666534,0.9999986886978149,2.6517449441598728e-05,0.0016039703041315079,0.0002331024588784203,0.0,0.0,-0.2424868941307068,-0.5160816311836243,0.24244193732738495,-3.78484628527076e-07,8.976234312285669e-06,2.301910899404902e-05,2.8889620807603933e-05,4.046595859108493e-05,0.0006174904992803931,0.003214996075257659,-0.0001494081661803648,0.3570486009120941,0.35670286417007446,-0.24082817137241364,-0.507041335105896,0.2407209575176239,-1.5036977174531785e-07,0.00016671886260155588,0.0002404472470516339,0.00023801294446457177,0.00019380977028049529,0.0004665318119805306,0.0032079536467790604,5.413185135694221e-05,0.356828898191452,0.35689547657966614,-0.18490926921367645,-4.120335102081299,0.13945546746253967,-8.664482447784394e-05,-0.005766886752098799,-0.007826101034879684,-0.007012201938778162,-0.00475552910938859,-0.0121067576110363,-0.01677260734140873,0.005897968076169491,0.7064691185951233,0.7344524264335632,-0.10878416895866394,-4.472016334533691,0.07362955063581467,-3.609282794059254e-05,-0.0007985813426785171,-0.0010433695279061794,-0.0008234868291765451,-0.0006484714685939252,-0.0028343151789158583,-0.015990765765309334,-6.435958493966609e-05,0.7157092690467834,0.7218207120895386,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2583333468064666
6,-1.0712233781814575,-0.1433294266462326,-0.0034878510050475597,-0.706732988357544,0.003901546820998192,0.0003291628963779658,0.7074695229530334,1.0664397478103638,-0.13924817740917206,-0.003626509103924036,-0.7070921659469604,0.00334491697140038,0.0009080203017219901,0.7071127891540527,-0.07236049324274063,-0.08739833533763885,-0.00116451526992023,-3.700661181937903e-05,-0.013105380348861217,-0.019698265939950943,0.008843946270644665,0.0206336360424757,-0.0014225887134671211,0.013868403621017933,0.008035901002585888,-0.007289906498044729,0.0,0.0,0.0,0.0,0.0,0.5,0.13199999928474426,0.13199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.14827829599380493,0.148243248462677,0.4542641043663025,-0.013104730285704136,0.17725300788879395,0.45435860753059387,-0.1613829880952835,0.17731015384197235,0.4551847279071808,-0.013147038407623768,0.17725549638271332,0.45526376366615295,-0.1613902598619461,0.17725305259227753,0.4662988483905792,-0.08729572594165802,0.17724117636680603,0.9999985694885254,-0.0001931951701408252,0.0016576922498643398,0.00020900991512462497,0.4672067165374756,-0.0872567817568779,0.17721271514892578,0.9999985098838806,7.781477506796364e-06,0.0017059813253581524,0.0002747229300439358,0.0,0.0,-0.24406208097934723,-0.5132066607475281,0.24330809712409973,-7.60328688897971e-10,2.203776830356219e-06,1.7842107808974106e-06,1.614055236132117e-06,4.283752730316337e-07,0.0004175245121587068,0.0033153551630675793,-0.0003860413271468133,0.3890290856361389,0.3884091079235077,-0.24280212819576263,-0.5142660737037659,0.24277770519256592,-4.5414486060657566e-10,0.00017975602531805634,0.00025784250465221703,0.0002562273293733597,0.0002086358144879341,0.0005497636157087982,0.003411934245377779,1.67555408552289e-05,0.38859856128692627,0.38864994049072266,0.010814210399985313,-0.008514969609677792,0.012057643383741379,3.841451871267054e-06,0.00044577306834980845,0.00036284871748648584,0.0003177759062964469,1.1596908734645694e-05,0.0038447189144790173,-0.015295476652681828,0.003161658998578787,0.5537043213844299,0.5622906684875488,-0.0025351406075060368,0.017325086519122124,-0.013230151496827602,-1.0068826838960376e-07,0.000638674246147275,0.0010612434707581997,0.0012143092462792993,0.000881347747053951,-0.0014826623955741525,-0.016842490062117577,-0.00012630071432795376,0.5604487061500549,0.5576279759407043,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083333494141698
7,-1.076932668685913,-0.14964014291763306,-0.0036256960593163967,-0.7064841985702515,0.0033443435095250607,0.0009063227917067707,0.7077202796936035,1.0667258501052856,-0.1388746201992035,-0.0036289766430854797,-0.7070735096931458,0.003340065013617277,0.0008947993046604097,0.7071315050125122,-0.16423724591732025,-0.15718896687030792,0.0002804418618325144,-0.002738685579970479,-0.0015812366036698222,-2.9722639737883583e-05,0.004743209574371576,0.004721616394817829,-0.0001290874497499317,0.0027028063777834177,-0.006396887358278036,-0.002754615154117346,0.0,0.0,0.0,0.0,0.0,0.5,0.1979999989271164,0.1979999989271164,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.15742051601409912,0.15736708045005798,0.452902227640152,-0.008456570096313953,0.17721150815486908,0.4530499279499054,-0.16587696969509125,0.17732666432857513,0.4534348249435425,-0.008568160235881805,0.17721319198608398,0.45352908968925476,-0.165935218334198,0.17721860110759735,0.4663056433200836,-0.08726736903190613,0.17722348868846893,0.9999984502792358,-0.0003667488635983318,0.0016879450995475054,0.00025727294269017875,0.4668031632900238,-0.08724517375230789,0.17716774344444275,0.9999983906745911,-1.7668269720161334e-05,0.0017823722446337342,0.0002948348119389266,0.0,0.0,-0.24275687336921692,-0.5142829418182373,0.2427891343832016,-1.8865433659698283e-09,1.6210746025535627e-06,1.324514414591249e-06,1.2138884812884498e-06,3.4117786640308623e-07,0.0005136488471180201,0.00337614631280303,-0.0007327247294597328,0.41408228874206543,0.4129086136817932,-0.24275189638137817,-0.5142388939857483,0.24275612831115723,1.6727616625189512e-08,9.191765275318176e-05,0.00013739177666138858,0.00014153981464914978,0.00012469680223148316,0.0005895908107049763,0.0035648553166538477,-3.419949644012377e-05,0.41335928440093994,0.4133394658565521,-0.0017148993210867047,-0.003427770920097828,0.0026095379143953323,2.5133365397778107e-06,0.00033913832157850266,0.0002764271921478212,0.00024230110284406692,8.842325769364834e-06,0.0021870709024369717,-0.015898440033197403,0.004564231261610985,0.4303658902645111,0.4370131492614746,0.006810874678194523,-0.0014771230053156614,-0.003182932734489441,8.908900781534612e-06,-0.0016148134600371122,-0.0026000533252954483,-0.0024685778189450502,-0.0013947890838608146,-0.006363860331475735,-0.028941361233592033,0.0046463883481919765,0.4392331540584564,0.4318774938583374,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358333352021873
8,-1.0868769884109497,-0.1593165248632431,-0.0036287722177803516,-0.7063878774642944,0.003341597504913807,0.0008916349615901709,0.7078164219856262,1.066739797592163,-0.1387716829776764,-0.0036289517302066088,-0.7070772051811218,0.003340008668601513,0.0008945369627326727,0.7071278095245361,-0.22586418688297272,-0.22324255108833313,4.19480747950729e-05,0.0018347847508266568,-0.003419804386794567,-0.007164926268160343,0.001922910800203681,0.0001124780610552989,-0.0010446477681398392,-0.002777561079710722,-0.006709981709718704,0.00031595095060765743,0.0,0.0,0.0,0.0,0.0,0.5,0.2639999985694885,0.2639999985694885,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1644866168498993,0.16441954672336578,0.4517650902271271,-0.004904067609459162,0.17718562483787537,0.451934814453125,-0.16939054429531097,0.17733252048492432,0.45182889699935913,-0.005045284982770681,0.1771850436925888,0.4519258737564087,-0.1694648116827011,0.17719343304634094,0.4663017988204956,-0.08727329224348068,0.1772090196609497,0.9999983906745911,-0.0004478143819142133,0.0017118359683081508,0.0002477461821399629,0.4663182199001312,-0.08725079149007797,0.17713551223278046,0.9999982714653015,-2.5870371246128343e-05,0.0018362858099862933,0.00028496398590505123,0.0,0.0,-0.24275165796279907,-0.5142389535903931,0.2427568882703781,5.234327637992919e-09,8.984499118014355e-07,7.272885795828188e-07,6.59326474305999e-07,1.6110719514017546e-07,0.0004937326302751899,0.003423751564696431,-0.0008948819595389068,0.43350517749786377,0.43204233050346375,-0.2427511364221573,-0.5142388939857483,0.24275553226470947,1.929881854323412e-08,-5.750314358010655e-08,-5.912448131084602e-08,-6.944858910173934e-08,1.2639198757824488e-05,0.0005698113236576319,0.0036727592814713717,-5.129692726768553e-05,0.4326152205467224,0.43256551027297974,0.0038367898669093847,0.0007174524944275618,-0.016611814498901367,1.8146052752854303e-05,0.00039606328937225044,0.00037960140616633,0.00034669949673116207,1.2630647688638419e-05,0.0014092826750129461,-0.02273932285606861,0.01024419441819191,0.3305637538433075,0.34416982531547546,0.003975951112806797,-0.006785993929952383,0.0023036387283354998,1.7779151676222682e-05,-0.0005868023727089167,-0.00018536101561039686,-3.790135815506801e-05,-0.0050591519102454185,-0.013538278639316559,-0.022221684455871582,0.005122801288962364,0.347591370344162,0.33097630739212036,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4083333546295762
9,-1.1000415086746216,-0.1723472625017166,-0.003628861391916871,-0.7063049077987671,0.0033412904012948275,0.000891126983333379,0.7078992128372192,1.0666756629943848,-0.1387220025062561,-0.00362918758764863,-0.7070860862731934,0.0033406992442905903,0.0008951039053499699,0.7071189284324646,-0.2891864776611328,-0.28820279240608215,0.000149524217704311,0.005686331540346146,-0.008486561477184296,-0.008071313612163067,0.0007591958274133503,0.0011190945515409112,-0.00022537345648743212,0.001504698651842773,-0.005271644797176123,-0.0008318103500641882,0.0,0.0,0.0,0.0,0.0,0.5,0.33000001311302185,0.33000001311302185,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1699552983045578,0.16987746953964233,0.4508340060710907,-0.0021544841583818197,0.1771644651889801,0.4510222375392914,-0.17210958898067474,0.17733821272850037,0.4508993625640869,-0.0023268251679837704,0.17716409265995026,0.4509933888912201,-0.17220427095890045,0.17717315256595612,0.4663006067276001,-0.08727657794952393,0.17719754576683044,0.9999983310699463,-0.0005127252661623061,0.0017318843165412545,0.00024224293883889914,0.4663051962852478,-0.08726106584072113,0.1771102100610733,0.9999982118606567,-2.7154328563483432e-05,0.0018792995251715183,0.00026755136786960065,0.0,0.0,-0.24275198578834534,-0.5142390131950378,0.24275636672973633,1.5532709340959627e-08,9.694924756331602e-07,7.656041702830407e-07,4.4537881649375777e-07,5.953781823109239e-08,0.0004826078948099166,0.003464094363152981,-0.001024953555315733,0.44861671328544617,0.4469393491744995,-0.2427515685558319,-0.5142390131950378,0.24275600910186768,1.927082848851569e-08,1.0335146498618997e-06,8.495363772453857e-07,6.02385057391075e-07,4.444766332767358e-08,0.0005348199629224837,0.0037587787955999374,-5.3420364565681666e-05,0.44758668541908264,0.4475402235984802,0.008958172984421253,0.0008239634335041046,-0.005153232719749212,2.291001146659255e-05,0.0008007329888641834,0.0007371432729996741,0.0006936622667126358,2.558685082476586e-05,0.004692932590842247,-0.03794967383146286,0.018009301275014877,0.25043171644210815,0.2747061550617218,0.005204807501286268,-0.0018307712161913514,-0.00189598195720464,1.0007446689996868e-05,0.00040097287273965776,0.00032718118745833635,0.0002499447437003255,9.019757271744311e-06,-0.0019390492234379053,-0.024128640070557594,0.004934229422360659,0.2636866867542267,0.2621268630027771,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333572372794
