video_frame,video_time_s,episode,observation_frame,simulation_time_s,physics_tick
0,0.0,demo_0,0,0.008333333767950535,0
1,0.2,demo_0,4,0.20833334419876337,48
2,0.4,demo_0,8,0.4083333546295762,96
3,0.6,demo_0,12,0.608333365060389,144
4,0.8,demo_0,16,0.8083333754912019,192
5,1.0,demo_0,20,1.0083333859220147,240
6,1.2,demo_0,24,1.2083333963528275,288
7,1.4,demo_0,28,1.4083334067836404,336
8,1.6,demo_0,32,1.6083334172144532,384
9,1.8,demo_0,36,1.808333427645266,432
10,2.0,demo_0,40,2.008333438076079,480
11,2.2,demo_0,44,2.2083334485068917,528
12,2.4,demo_0,48,2.4083334589377046,576
13,2.6,demo_0,52,2.6083334693685174,624
14,2.8,demo_0,56,2.8083334797993302,672
15,3.0,demo_0,60,3.008333490230143,720
16,3.2,demo_0,64,3.208333500660956,768
17,3.4,demo_0,68,3.4083335110917687,816
18,3.6,demo_0,72,3.6083335215225816,864
19,3.8,demo_0,76,3.8083335319533944,912
20,4.0,demo_0,80,4.008333542384207,960
21,4.2,demo_0,84,4.20833355281502,1008
22,4.4,demo_0,88,4.408333563245833,1056
23,4.6,demo_0,92,4.608333573676646,1104
24,4.8,demo_0,96,4.808333584107459,1152
25,5.0,demo_0,100,5.008333594538271,1200
26,5.2,demo_0,104,5.208333604969084,1248
27,5.4,demo_0,108,5.408333615399897,1296
28,5.6,demo_0,112,5.60833362583071,1344
29,5.8,demo_0,116,5.808333636261523,1392
30,6.0,demo_0,120,6.008333646692336,1440
31,6.2,demo_0,124,6.208333657123148,1488
32,6.4,demo_0,128,6.408333667553961,1536
33,6.6,demo_0,132,6.608333677984774,1584
34,6.8,demo_0,136,6.808333688415587,1632
35,7.0,demo_0,140,7.0083336988464,1680
36,7.2,demo_0,144,7.208333709277213,1728
37,7.4,demo_0,148,7.4083337197080255,1776
38,7.6,demo_0,152,7.608333730138838,1824
39,7.8,demo_0,156,7.808333740569651,1872
40,8.0,demo_0,160,8.008333751000464,1920
41,8.2,demo_0,164,8.208333761431277,1968
42,8.4,demo_0,168,8.40833377186209,2016
43,8.6,demo_0,172,8.608333782292902,2064
44,8.8,demo_0,176,8.808333792723715,2112
45,9.0,demo_0,180,9.008333803154528,2160
46,9.2,demo_0,184,9.208333813585341,2208
47,9.4,demo_0,188,9.408333824016154,2256
48,9.6,demo_0,192,9.608333834446967,2304
49,9.8,demo_0,196,9.80833384487778,2352
50,10.0,demo_0,200,10.008333855308592,2400
51,10.2,demo_0,204,10.208333865739405,2448
52,10.4,demo_0,208,10.408333876170218,2496
53,10.6,demo_0,212,10.60833388660103,2544
54,10.8,demo_0,216,10.808333897031844,2592
55,11.0,demo_0,220,11.008333907462656,2640
56,11.2,demo_0,224,11.20833391789347,2688
57,11.4,demo_0,228,11.408333928324282,2736
58,11.6,demo_0,232,11.608333938755095,2784
59,11.8,demo_0,236,11.808333949185908,2832
60,12.0,demo_0,240,12.00833395961672,2880
61,12.2,demo_0,244,12.208333970047534,2928
62,12.4,demo_0,248,12.408333980478346,2976
63,12.6,demo_0,252,12.60833399090916,3024
64,12.8,demo_0,256,12.808334001339972,3072
65,13.0,demo_0,260,13.008334011770785,3120
66,13.2,demo_0,264,13.208334022201598,3168
67,13.4,demo_0,268,13.40833403263241,3216
68,13.6,demo_0,272,13.608334043063223,3264
69,13.8,demo_0,276,13.808334053494036,3312
70,14.0,demo_0,280,14.008334063924849,3360
71,14.2,demo_0,284,14.208334074355662,3408
72,14.4,demo_0,288,14.408334084786475,3456
73,14.6,demo_0,292,14.608334095217288,3504
74,14.8,demo_0,296,14.8083341056481,3552
75,15.0,demo_0,300,15.008334116078913,3600
76,15.2,demo_0,304,15.208334126509726,3648
77,15.4,demo_0,308,15.408334136940539,3696
78,15.6,demo_0,312,15.608334147371352,3744
79,15.8,demo_0,316,15.808334157802165,3792
80,16.0,demo_0,320,16.008334168232977,3840
81,16.2,demo_0,324,16.20833417866379,3888
82,16.4,demo_0,328,16.408334189094603,3936
83,16.6,demo_0,332,16.608334199525416,3984
84,16.8,demo_0,336,16.80833420995623,4032
85,17.0,demo_0,340,17.00833422038704,4080
86,17.2,demo_0,344,17.208334230817854,4128
87,17.4,demo_0,348,17.408334241248667,4176
88,17.6,demo_0,352,17.60833425167948,4224
89,17.8,demo_0,356,17.808334262110293,4272
90,18.0,demo_0,360,18.008334272541106,4320
91,18.2,demo_0,364,18.20833428297192,4368
92,18.4,demo_0,368,18.40833429340273,4416
93,18.6,demo_0,372,18.608334303833544,4464
94,18.8,demo_0,376,18.808334314264357,4512
95,19.0,demo_0,380,19.00833432469517,4560
96,19.2,demo_0,384,19.208334335125983,4608
97,19.4,demo_0,388,19.408334345556796,4656
98,19.6,demo_0,392,19.60833435598761,4704
99,19.8,demo_0,396,19.80833436641842,4752
100,20.0,demo_0,400,20.008334376849234,4800
101,20.2,demo_0,404,20.208334387280047,4848
102,20.4,demo_0,408,20.40833439771086,4896
103,20.6,demo_0,412,20.608334408141673,4944
104,20.8,demo_0,416,20.808334418572485,4992
105,21.0,demo_0,420,21.0083344290033,5040
106,21.2,demo_0,424,21.20833443943411,5088
107,21.4,demo_0,428,21.408334449864924,5136
108,21.6,demo_0,432,21.608334460295737,5184
109,21.8,demo_0,436,21.80833447072655,5232
110,22.0,demo_0,440,22.008334481157362,5280
111,22.2,demo_0,444,22.208334491588175,5328
112,22.4,demo_0,448,22.408334502018988,5376
113,22.6,demo_0,452,22.6083345124498,5424
114,22.8,demo_0,456,22.808334522880614,5472
115,23.0,demo_0,460,23.008334533311427,5520
116,23.2,demo_0,464,23.20833454374224,5568
117,23.4,demo_0,468,23.408334554173052,5616
118,23.6,demo_0,472,23.608334564603865,5664
119,23.8,demo_0,476,23.808334575034678,5712
120,24.0,demo_0,480,24.00833458546549,5760
121,24.2,demo_0,484,24.208334595896304,5808
122,24.4,demo_0,488,24.408334606327116,5856
123,24.6,demo_0,492,24.60833461675793,5904
124,24.8,demo_0,496,24.808334627188742,5952
125,25.0,demo_0,500,25.008334637619555,6000
126,25.2,demo_0,504,25.208334648050368,6048
127,25.4,demo_0,508,25.40833465848118,6096
128,25.6,demo_0,512,25.608334668911994,6144
129,25.8,demo_0,516,25.808334679342806,6192
130,26.0,demo_0,520,26.00833468977362,6240
131,26.2,demo_0,524,26.208334700204432,6288
132,26.4,demo_0,528,26.408334710635245,6336
133,26.6,demo_0,532,26.608334721066058,6384
134,26.8,demo_0,536,26.80833473149687,6432
135,27.0,demo_0,540,27.008334741927683,6480
136,27.2,demo_0,544,27.208334752358496,6528
137,27.4,demo_0,548,27.40833476278931,6576
138,27.6,demo_0,552,27.608334773220122,6624
139,27.8,demo_0,556,27.808334783650935,6672
140,28.0,demo_0,560,28.008334794081748,6720
141,28.2,demo_0,564,28.20833480451256,6768
142,28.4,demo_0,568,28.408334814943373,6816
143,28.6,demo_0,572,28.608334825374186,6864
144,28.8,demo_0,576,28.808334835805,6912
145,29.0,demo_0,580,29.00833484623581,6960
146,29.2,demo_0,584,29.208334856666625,7008
147,29.4,demo_0,588,29.408334867097437,7056
148,29.6,demo_0,592,29.60833487752825,7104
149,29.8,demo_0,596,29.808334887959063,7152
150,30.0,demo_0,600,30.008334898389876,7200
151,30.2,demo_0,604,30.20833490882069,7248
152,30.4,demo_0,608,30.4083349192515,7296
153,30.6,demo_0,612,30.608334929682314,7344
154,30.8,demo_0,616,30.808334940113127,7392
155,31.0,demo_0,620,31.00833495054394,7440
156,31.2,demo_0,624,31.208334960974753,7488
157,31.4,demo_0,628,31.408334971405566,7536
158,31.6,demo_0,632,31.60833498183638,7584
159,31.8,demo_0,636,31.80833499226719,7632
160,32.0,demo_0,640,32.008335002698004,7680
161,32.2,demo_0,644,32.20833501312882,7728
162,32.4,demo_0,648,32.40833502355963,7776
163,32.6,demo_0,652,32.60833503399044,7824
164,32.8,demo_0,656,32.808335044421256,7872
165,33.0,demo_0,660,33.00833505485207,7920
166,33.2,demo_0,664,33.20833506528288,7968
167,33.4,demo_0,668,33.408335075713694,8016
168,33.6,demo_0,672,33.60833508614451,8064
169,33.8,demo_0,676,33.80833509657532,8112
170,34.0,demo_0,680,34.00833510700613,8160
171,34.2,demo_0,684,34.208335117436945,8208
172,34.4,demo_0,688,34.40833512786776,8256
173,34.6,demo_0,692,34.60833513829857,8304
174,34.8,demo_0,696,34.808335148729384,8352
175,35.0,demo_0,700,35.0083351591602,8400
176,35.2,demo_0,704,35.20833516959101,8448
177,35.4,demo_0,708,35.40833518002182,8496
178,35.6,demo_0,712,35.608335190452635,8544
179,35.8,demo_0,716,35.80833520088345,8592
180,36.0,demo_0,720,36.00833521131426,8640
181,36.2,demo_0,724,36.208335221745074,8688
182,36.4,demo_0,728,36.40833523217589,8736
183,36.6,demo_0,732,36.6083352426067,8784
184,36.8,demo_0,736,36.80833525303751,8832
185,37.0,demo_0,740,37.008335263468325,8880
186,37.2,demo_0,744,37.20833527389914,8928
187,37.4,demo_0,748,37.40833528432995,8976
188,37.6,demo_0,752,37.608335294760764,9024
189,37.8,demo_0,756,37.80833530519158,9072
190,38.0,demo_0,760,38.00833531562239,9120
191,38.2,demo_0,764,38.2083353260532,9168
192,38.4,demo_0,768,38.408335336484015,9216
193,38.6,demo_0,772,38.60833534691483,9264
194,38.8,demo_0,776,38.80833535734564,9312
195,39.0,demo_0,780,39.00833536777645,9360
196,39.2,demo_0,784,39.208335378207266,9408
197,39.4,demo_0,788,39.40833538863808,9456
198,39.6,demo_0,792,39.60833539906889,9504
199,39.8,demo_0,796,39.808335409499705,9552
200,40.0,demo_0,800,40.00833541993052,9600
201,40.2,demo_0,804,40.20833543036133,9648
202,40.4,demo_0,808,40.40833544079214,9696
203,40.6,demo_0,812,40.608335451222956,9744
204,40.8,demo_0,816,40.80833546165377,9792
205,41.0,demo_0,820,41.00833547208458,9840
206,41.2,demo_0,824,41.208335482515395,9888
207,41.4,demo_0,828,41.40833549294621,9936
208,41.6,demo_0,832,41.60833550337702,9984
209,41.8,demo_0,836,41.80833551380783,10032
210,42.0,demo_0,840,42.008335524238646,10080
211,42.2,demo_0,844,42.20833553466946,10128
212,42.4,demo_0,848,42.40833554510027,10176
213,42.6,demo_0,852,42.608335555531085,10224
214,42.8,demo_0,856,42.8083355659619,10272
215,43.0,demo_0,860,43.00833557639271,10320
216,43.2,demo_0,864,43.20833558682352,10368
217,43.4,demo_0,868,43.408335597254336,10416
218,43.6,demo_0,872,43.60833560768515,10464
219,43.8,demo_0,876,43.80833561811596,10512
220,44.0,demo_0,880,44.008335628546774,10560
221,44.2,demo_0,884,44.20833563897759,10608
222,44.4,demo_0,888,44.4083356494084,10656
223,44.6,demo_0,892,44.60833565983921,10704
224,44.8,demo_0,896,44.808335670270026,10752
225,45.0,demo_0,900,45.00833568070084,10800
226,45.2,demo_0,904,45.20833569113165,10848
227,45.4,demo_0,908,45.408335701562464,10896
228,45.6,demo_0,912,45.60833571199328,10944
229,45.8,demo_0,916,45.80833572242409,10992
230,46.0,demo_0,920,46.0083357328549,11040
231,46.2,demo_0,924,46.208335743285716,11088
232,46.4,demo_0,928,46.40833575371653,11136
233,46.6,demo_0,932,46.60833576414734,11184
234,46.8,demo_0,936,46.808335774578154,11232
235,47.0,demo_0,940,47.00833578500897,11280
236,47.2,demo_0,944,47.20833579543978,11328
237,47.4,demo_0,948,47.40833580587059,11376
238,47.6,demo_0,952,47.608335816301405,11424
239,47.8,demo_0,956,47.80833582673222,11472
240,48.0,demo_0,960,48.00833583716303,11520
241,48.2,demo_0,964,48.208335847593844,11568
242,48.4,demo_0,968,48.40833585802466,11616
243,48.6,demo_0,972,48.60833586845547,11664
244,48.8,demo_0,976,48.80833587888628,11712
245,49.0,demo_0,980,49.008335889317095,11760
246,49.2,demo_0,984,49.20833589974791,11808
247,49.4,demo_0,988,49.40833591017872,11856
248,49.6,demo_0,992,49.608335920609534,11904
249,49.8,demo_0,996,49.80833593104035,11952
250,50.0,demo_0,1000,50.00833594147116,12000
251,50.2,demo_0,1004,50.20833595190197,12048
252,50.4,demo_0,1008,50.408335962332785,12096
253,50.6,demo_0,1012,50.6083359727636,12144
254,50.8,demo_0,1016,50.80833598319441,12192
255,51.0,demo_0,1020,51.008335993625224,12240
256,51.2,demo_0,1024,51.20833600405604,12288
257,51.4,demo_0,1028,51.40833601448685,12336
258,51.6,demo_0,1032,51.60833602491766,12384
259,51.8,demo_0,1036,51.808336035348475,12432
260,52.0,demo_0,1040,52.00833604577929,12480
261,52.2,demo_0,1044,52.2083360562101,12528
262,52.4,demo_0,1048,52.40833606664091,12576
263,52.6,demo_0,1052,52.608336077071726,12624
264,52.8,demo_0,1056,52.80833608750254,12672
